"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 00:00","2019","09","01","00:00","10.9","","10.6","","98","","11","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 01:00","2019","09","01","01:00","11.0","","10.7","","98","","11","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 02:00","2019","09","01","02:00","11.0","","10.8","","98","","11","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 03:00","2019","09","01","03:00","10.9","","10.6","","98","","6","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 04:00","2019","09","01","04:00","11.0","","10.8","","99","","10","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 05:00","2019","09","01","05:00","11.0","","10.7","","99","","11","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 06:00","2019","09","01","06:00","11.0","","10.8","","99","","10","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 07:00","2019","09","01","07:00","11.2","","11.0","","99","","11","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 08:00","2019","09","01","08:00","11.2","","11.0","","99","","11","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 09:00","2019","09","01","09:00","11.3","","11.1","","99","","11","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 10:00","2019","09","01","10:00","11.5","","11.3","","99","","11","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 11:00","2019","09","01","11:00","11.6","","11.4","","99","","12","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 12:00","2019","09","01","12:00","11.7","","11.5","","99","","17","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 13:00","2019","09","01","13:00","12.2","","11.9","","98","","13","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 14:00","2019","09","01","14:00","12.8","","12.1","","96","","12","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 15:00","2019","09","01","15:00","13.5","","12.1","","91","","16","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 16:00","2019","09","01","16:00","14.1","","12.3","","89","","11","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 17:00","2019","09","01","17:00","14.5","","12.3","","87","","10","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 18:00","2019","09","01","18:00","14.7","","12.3","","86","","12","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 19:00","2019","09","01","19:00","14.0","","12.1","","89","","12","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 20:00","2019","09","01","20:00","13.9","","12.2","","90","","7","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 21:00","2019","09","01","21:00","13.7","","12.3","","91","","8","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 22:00","2019","09","01","22:00","13.2","","12.4","","95","","34","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-01 23:00","2019","09","01","23:00","11.4","","9.8","","90","","1","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 00:00","2019","09","02","00:00","11.9","","10.2","","89","","29","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 01:00","2019","09","02","01:00","11.7","","11.0","","96","","29","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 02:00","2019","09","02","02:00","12.0","","11.3","","96","","26","","12","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 03:00","2019","09","02","03:00","11.5","","10.7","","95","","32","","9","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 04:00","2019","09","02","04:00","10.7","","10.1","","96","","34","","11","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 05:00","2019","09","02","05:00","10.9","","10.0","","94","","34","","14","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 06:00","2019","09","02","06:00","10.8","","8.5","","86","","35","","16","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 07:00","2019","09","02","07:00","11.6","","8.0","","79","","33","","17","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 08:00","2019","09","02","08:00","10.9","","8.0","","82","","33","","16","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 09:00","2019","09","02","09:00","11.3","","7.1","","75","","31","","13","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 10:00","2019","09","02","10:00","12.8","","8.2","","74","","32","","14","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 11:00","2019","09","02","11:00","11.4","","9.3","","87","","26","","11","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 12:00","2019","09","02","12:00","14.8","","11.0","","78","","24","","12","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 13:00","2019","09","02","13:00","17.0","","9.3","","60","","30","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 14:00","2019","09","02","14:00","18.5","","10.9","","61","","34","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 15:00","2019","09","02","15:00","19.6","","9.1","","51","","35","","5","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 16:00","2019","09","02","16:00","19.9","","8.3","","47","","35","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 17:00","2019","09","02","17:00","19.9","","7.6","","45","","0","","1","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 18:00","2019","09","02","18:00","18.6","","8.2","","51","","9","","6","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 19:00","2019","09","02","19:00","16.6","","7.7","","56","","9","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 20:00","2019","09","02","20:00","15.2","","6.9","","58","","10","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 21:00","2019","09","02","21:00","13.6","","6.6","","62","","13","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 22:00","2019","09","02","22:00","12.3","","6.9","","70","","17","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-02 23:00","2019","09","02","23:00","11.8","","6.5","","70","","15","","1","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 00:00","2019","09","03","00:00","11.3","","6.2","","71","","17","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 01:00","2019","09","03","01:00","10.4","","5.9","","73","","18","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 02:00","2019","09","03","02:00","10.8","","5.5","","70","","","","0","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 03:00","2019","09","03","03:00","9.8","","5.3","","74","","","","0","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 04:00","2019","09","03","04:00","8.2","","6.5","","89","","28","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 05:00","2019","09","03","05:00","8.3","","6.3","","87","","29","","7","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 06:00","2019","09","03","06:00","6.8","","5.5","","92","","24","","11","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 07:00","2019","09","03","07:00","9.3","","5.7","","78","","32","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 08:00","2019","09","03","08:00","12.4","","5.9","","65","","28","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 09:00","2019","09","03","09:00","15.3","","8.3","","63","","33","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 10:00","2019","09","03","10:00","16.9","","9.2","","60","","33","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 11:00","2019","09","03","11:00","20.1","","8.1","","46","","2","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 12:00","2019","09","03","12:00","21.3","","5.7","","36","","10","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 13:00","2019","09","03","13:00","21.5","","6.2","","37","","8","","8","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 14:00","2019","09","03","14:00","21.5","","6.3","","37","","9","","10","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 15:00","2019","09","03","15:00","23.2","","6.3","","33","","14","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 16:00","2019","09","03","16:00","24.1","","6.4","","32","","16","","4","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 17:00","2019","09","03","17:00","22.5","","5.1","","32","","18","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 18:00","2019","09","03","18:00","21.1","","5.3","","35","","12","","3","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 19:00","2019","09","03","19:00","19.8","","5.2","","38","","11","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 20:00","2019","09","03","20:00","18.3","","5.8","","44","","17","","2","","","","","","","","","","NA"
"-114.22","51.08","COP UPPER","3031875","2019-09-03 21:00","2019","09","03","21:00","17.5","","6.9","","50","","17","","3","","","","","","","","","","NA"
